tweet_id,created_at,text
1901021728257474705,2025-03-15T21:24:33.000000Z,@stillgray 🦾🇺🇸
1901021586313953619,2025-03-15T21:24:00.000000Z,@listen_2learn ❤️
1901019487811281263,2025-03-15T21:15:39.000000Z,@BreannaMorello Concerning
1901013894824370449,2025-03-15T20:53:26.000000Z,@BasedMikeLee 🔥🔥
1901013162754740239,2025-03-15T20:50:31.000000Z,https://t.co/ZWIrggzIJg
1901012256919257421,2025-03-15T20:46:55.000000Z,@farzyness Crazy world
1901012125687890370,2025-03-15T20:46:24.000000Z,@profstonge @grok 😂
1901010987655852369,2025-03-15T20:41:53.000000Z,"@stillgray While winding down this global government propaganda agency, it has temporarily been renamed the Department of Propaganda Everywhere (DOPE). 

Much more accurate name!

And the new logo is a big improvement 😂 https://t.co/5EZXI4qN7b"
1901010300947886089,2025-03-15T20:39:09.000000Z,@stillgray Yes
1901009662377656731,2025-03-15T20:36:37.000000Z,Congratulations @SpaceX team on three successful rocket flights in half a day!
1900932031225168185,2025-03-15T15:28:08.000000Z,"@CollinRugg Crazy people. Naturally, he drives a Subaru …"
1900927475149951107,2025-03-15T15:10:02.000000Z,Fate loves irony
1900926420408279198,2025-03-15T15:05:50.000000Z,@amuse Lil X has great instincts!
1900925853002834004,2025-03-15T15:03:35.000000Z,@stillgray Crazy
1900925582470172735,2025-03-15T15:02:31.000000Z,True
1900873930132324644,2025-03-15T11:37:16.000000Z,@BreitbartNews This woman is evil
1900873458457673747,2025-03-15T11:35:23.000000Z,@RadioEuropes !!
1900873112163401921,2025-03-15T11:34:01.000000Z,@cb_doge @grok
1900865473161441291,2025-03-15T11:03:39.000000Z,@MarioNawfal 😀
1900864832611451315,2025-03-15T11:01:07.000000Z,@MarioNawfal We want to make it so that anyone can travel to Mars if they would like
1900864399075623128,2025-03-15T10:59:23.000000Z,😂
1900863634000990678,2025-03-15T10:56:21.000000Z,Tesla self-driving is smooth
1900860205031682075,2025-03-15T10:42:43.000000Z,@cb_doge @grok
1900859436203155705,2025-03-15T10:39:40.000000Z,@mrshelby101 Yes
1900859237904879876,2025-03-15T10:38:53.000000Z,@cb_doge Yeah
1900858831237767246,2025-03-15T10:37:16.000000Z,"SpaceX will launch over 90% of all of Earth’s payload mass to orbit this year. 

China will be ~5% and rest of world, including rest of America, around 5%.

When Starship is launching at high rate, SpaceX will probably carry >99% of Earth’s payload mass to orbit. This is necessary to make Mars a self-sustaining civilization."
1900857183849336893,2025-03-15T10:30:43.000000Z,@Sadie_NC 😂
